"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II,Pokedex Desc
157,Typhlosion,78,84,78,109,85,100,534,Blaze,,Flash Fire,79.5,1.7,Yellow,Field,,Fire,,
157.1,Typhlosion (Hisuian),73,84,78,119,85,95,534,Blaze,,Frisk,69.8,1.6,Yellow,Field,,Fire,Ghost,
158,Totodile,50,65,64,44,48,43,314,Torrent,,Sheer Force,9.5,0.6,Blue,Monster,Water 1,Water,,
159,Croconaw,65,80,80,59,63,58,405,Torrent,,Sheer Force,25,1.1,Blue,Monster,Water 1,Water,,
160,Feraligatr,85,105,100,79,83,78,530,Torrent,,Sheer Force,88.8,2.3,Blue,Monster,Water 1,Water,,
161,Sentret,35,46,34,35,45,20,215,Run Away,Keen Eye,Frisk,6,0.8,Brown,Field,,Normal,,
162,Furret,85,76,64,45,55,90,415,Run Away,Keen Eye,Frisk,32.5,1.8,Brown,Field,,Normal,,
163,Hoothoot,60,30,30,36,56,50,262,Insomnia,Keen Eye,Tinted Lens,21.2,0.7,Brown,Flying,,Normal,Flying,
164,Noctowl,100,50,50,86,96,70,452,Insomnia,Keen Eye,Tinted Lens,40.8,1.6,Brown,Flying,,Normal,Flying,
165,Ledyba,40,20,30,40,80,55,265,Swarm,Early Bird,Rattled,10.8,1,Red,Bug,,Bug,Flying,
166,Ledian,55,35,50,55,110,85,390,Swarm,Early Bird,Iron Fist,35.6,1.4,Red,Bug,,Bug,Flying,
167,Spinarak,40,60,40,40,40,30,250,Swarm,Insomnia,Sniper,8.5,0.5,Green,Bug,,Bug,Poison,
168,Ariados,70,90,70,60,70,40,400,Swarm,Insomnia,Sniper,33.5,1.1,Red,Bug,,Bug,Poison,
169,Crobat,85,90,80,70,80,130,535,Inner Focus,,Infiltrator,75,1.8,Purple,Flying,,Poison,Flying,
170,Chinchou,75,38,38,56,56,67,330,Volt Absorb,Illuminate,Water Absorb,12,0.5,Blue,Water 2,,Water,Electric,
171,Lanturn,125,58,58,76,76,67,460,Volt Absorb,Illuminate,Water Absorb,22.5,1.2,Blue,Water 2,,Water,Electric,
172,Pichu,20,40,15,35,35,60,205,Static,,Lightningrod,2,0.3,Yellow,Undiscovered,,Electric,,
173,Cleffa,50,25,28,45,55,15,218,Cute Charm,Magic Guard,Friend Guard,3,0.3,Pink,Undiscovered,,Fairy,,
174,Igglybuff,90,30,15,40,20,15,210,Cute Charm,,Friend Guard,1,0.3,Pink,Undiscovered,,Normal,Fairy,
175,Togepi,35,20,65,40,65,20,245,Hustle,Serene Grace,Super Luck,1.5,0.3,White,Undiscovered,,Fairy,,
176,Togetic,55,40,85,80,105,40,405,Hustle,Serene Grace,Super Luck,3.2,0.6,White,Flying,Fairy,Fairy,Flying,
177,Natu,40,50,45,70,45,70,320,Synchronize,Early Bird,Magic Bounce,2,0.2,Green,Flying,,Psychic,Flying,
178,Xatu,65,75,70,95,70,95,470,Synchronize,Early Bird,Magic Bounce,15,1.5,Green,Flying,,Psychic,Flying,
179,Mareep,55,40,40,65,45,35,280,Static,,Plus,7.8,0.6,White,Monster,Field,Electric,,
180,Flaaffy,70,55,55,80,60,45,365,Static,,Plus,13.3,0.8,Pink,Monster,Field,Electric,,
181,Ampharos,90,75,85,115,90,55,510,Static,,Plus,61.5,1.4,Yellow,Monster,Field,Electric,,
181.1,Ampharos (Mega),90,95,105,165,110,45,610,Mold Breaker,,,61.5,1.4,Yellow,Monster,Field,Electric,Dragon,
182,Bellossom,75,80,95,90,100,50,490,Chlorophyll,,Healer,5.8,0.4,Green,Grass,,Grass,,
183,Marill,70,20,50,20,50,40,250,Thick Fat,Huge Power,Sap Sipper,8.5,0.4,Blue,Water 1,Fairy,Water,Fairy,
184,Azumarill,100,50,80,60,80,50,420,Thick Fat,Huge Power,Sap Sipper,28.5,0.8,Blue,Water 1,Fairy,Water,Fairy,
185,Sudowoodo,70,100,115,30,65,30,410,Sturdy,Rock Head,Rattled,38,1.2,Brown,Mineral,,Rock,,
186,Politoed,90,75,75,90,100,70,500,Water Absorb,Damp,Drizzle,33.9,1.1,Green,Water 1,,Water,,
187,Hoppip,35,35,40,35,55,50,250,Chlorophyll,Leaf Guard,Infiltrator,0.5,0.4,Pink,Fairy,Grass,Grass,Flying,
188,Skiploom,55,45,50,45,65,80,340,Chlorophyll,Leaf Guard,Infiltrator,1,0.6,Green,Fairy,Grass,Grass,Flying,
189,Jumpluff,75,55,70,55,95,110,460,Chlorophyll,Leaf Guard,Infiltrator,3,0.8,Blue,Fairy,Grass,Grass,Flying,
190,Aipom,55,70,55,40,55,85,360,Run Away,Pickup,Skill Link,11.5,0.8,Purple,Field,,Normal,,
191,Sunkern,30,30,30,30,30,30,180,Chlorophyll,Solar Power,Early Bird,1.8,0.3,Yellow,Grass,,Grass,,
192,Sunflora,75,75,55,105,85,30,425,Chlorophyll,Solar Power,Early Bird,8.5,0.8,Yellow,Grass,,Grass,,
193,Yanma,65,65,45,75,45,95,390,Speed Boost,Compoundeyes,Frisk,38,1.2,Red,Bug,,Bug,Flying,
194,Wooper,55,45,45,25,25,15,210,Damp,Water Absorb,Unaware,8.5,0.4,Blue,Water 1,Field,Water,Ground,
194.1,Wooper (Paldean),55,45,45,25,25,15,210,Poison Point,Water Absorb,Unaware,11,0.4,Blue,Water 1,Field,Poison,Ground,
195,Quagsire,95,85,85,65,65,35,430,Damp,Water Absorb,Unaware,75,1.4,Blue,Water 1,Field,Water,Ground,
196,Espeon,65,65,60,130,95,110,525,Synchronize,,Magic Bounce,26.5,0.9,Purple,Field,,Psychic,,
197,Umbreon,95,65,110,60,130,65,525,Synchronize,,Inner Focus,27,1,Black,Field,,Dark,,
198,Murkrow,60,85,42,85,42,91,405,Insomnia,Super Luck,Prankster,2.1,0.5,Black,Flying,,Dark,Flying,
199,Slowking,95,75,80,100,110,30,490,Oblivious,Own Tempo,Regenerator,79.5,2,Pink,Monster,Water 1,Water,Psychic,
199.1,Slowking (Galarian),95,65,80,110,110,30,490,Curious Medicine,Own Tempo,Regenerator,79.5,1.8,Pink,Monster,Water 1,Poison,Psychic,
200,Misdreavus,60,60,60,85,85,85,435,Levitate,,,1,0.7,Gray,Amorphous,,Ghost,,
201,Unown,48,72,48,72,48,48,336,Levitate,,,5,0.5,Black,Undiscovered,,Psychic,,
202,Wobbuffet,190,33,58,33,58,33,405,Shadow Tag,,Telepathy,28.5,1.3,Blue,Amorphous,,Psychic,,
203,Girafarig,70,80,65,90,65,85,455,Inner Focus,Early Bird,Sap Sipper,41.5,1.5,Yellow,Field,,Normal,Psychic,
204,Pineco,50,65,90,35,35,15,290,Sturdy,,Overcoat,7.2,0.6,Gray,Bug,,Bug,,
205,Forretress,75,90,140,60,60,40,465,Sturdy,,Overcoat,125.8,1.2,Purple,Bug,,Bug,Steel,
206,Dunsparce,100,70,70,65,65,45,415,Serene Grace,Run Away,Rattled,14,1.5,Yellow,Field,,Normal,,
207,Gligar,65,75,105,35,65,85,430,Hyper Cutter,Sand Veil,Immunity,64.8,1.1,Purple,Bug,,Ground,Flying,
208,Steelix,75,85,200,55,65,30,510,Rock Head,Sturdy,Sheer Force,400,9.2,Gray,Mineral,,Steel,Ground,
208.1,Steelix (Mega),75,125,230,55,95,30,610,Sand Force,,,740,10.5,Gray,Mineral,,Steel,Ground,
209,Snubbull,60,80,50,40,40,30,300,Intimidate,Run Away,Rattled,7.8,0.6,Pink,Field,Fairy,Fairy,,
210,Granbull,90,120,75,60,60,45,450,Intimidate,Quick Feet,Rattled,48.7,1.4,Purple,Field,Fairy,Fairy,,
211,Qwilfish,65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate,3.9,0.5,Gray,Water 2,,Water,Poison,
211.1,Qwilfish (Hisuian),65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate,3.9,0.5,Black,Water 2,,Dark,Poison,
212,Scizor,70,130,100,55,80,65,500,Swarm,Technician,Light Metal,118,1.8,Red,Bug,,Bug,Steel,
212.1,Scizor (Mega),70,150,140,65,100,75,600,Technician,,,125,2,Red,Bug,,Bug,Steel,
213,Shuckle,20,10,230,10,230,5,505,Sturdy,Gluttony,Contrary,20.5,0.6,Yellow,Bug,,Bug,Rock,
214,Heracross,80,125,75,40,95,85,500,Swarm,Guts,Moxie,54,1.5,Blue,Bug,,Bug,Fighting,
214.1,Heracross (Mega),80,185,115,40,105,75,600,Skill Link,,,62.5,1.7,Blue,Bug,,Bug,Fighting,
215,Sneasel,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket,28,0.9,Black,Field,,Dark,Ice,
215.1,Sneasel (Hisuian),55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket,27,0.9,Gray,Field,,Fighting,Poison,
216,Teddiursa,60,80,50,50,50,40,330,Pickup,Quick Feet,Honey Gather,8.8,0.6,Brown,Field,,Normal,,
217,Ursaring,90,130,75,75,75,55,500,Guts,Quick Feet,Unnerve,125.8,1.8,Brown,Field,,Normal,,
218,Slugma,40,40,40,70,40,20,250,Magma Armor,Flame Body,Weak Armor,35,0.7,Red,Amorphous,,Fire,,
219,Magcargo,60,50,120,90,80,30,430,Magma Armor,Flame Body,Weak Armor,55,0.8,Red,Amorphous,,Fire,Rock,
220,Swinub,50,50,40,30,30,50,250,Oblivious,Snow Cloak,Thick Fat,6.5,0.4,Brown,Field,,Ice,Ground,
221,Piloswine,100,100,80,60,60,50,450,Oblivious,Snow Cloak,Thick Fat,55.8,1.1,Brown,Field,,Ice,Ground,
222,Corsola,65,55,95,65,95,35,410,Hustle,Natural Cure,Regenerator,5,0.6,Pink,Water 1,Water 3,Water,Rock,
222.1,Corsola (Galarian),60,55,100,65,100,30,410,Weak Armor,,Cursed Body,0.5,0.6,White,Water 1,Water 3,Ghost,,
223,Remoraid,35,65,35,65,35,65,300,Hustle,Sniper,Moody,12,0.6,Gray,Water 1,Water 2,Water,,
224,Octillery,75,105,75,105,75,45,480,Suction Cups,Sniper,Moody,28.5,0.9,Red,Water 1,Water 2,Water,,
225,Delibird,45,55,45,65,45,75,330,Vital Spirit,Hustle,Insomnia,16,0.9,Red,Water 1,Field,Ice,Flying,
226,Mantine,85,40,70,80,140,70,485,Swift Swim,Water Absorb,Water Veil,220,2.1,Purple,Water 1,,Water,Flying,
227,Skarmory,65,80,140,40,70,70,465,Keen Eye,Sturdy,Weak Armor,50.5,1.7,Gray,Flying,,Steel,Flying,
228,Houndour,45,60,30,80,50,65,330,Early Bird,Flash Fire,Unnerve,10.8,0.6,Black,Field,,Dark,Fire,
229,Houndoom,75,90,50,110,80,95,500,Early Bird,Flash Fire,Unnerve,35,1.4,Black,Field,,Dark,Fire,
229.1,Houndoom (Mega),75,90,90,140,90,115,600,Solar Power,,,49.5,1.9,Black,Field,,Dark,Fire,
230,Kingdra,75,95,95,95,95,85,540,Swift Swim,Sniper,Damp,152,1.8,Blue,Water 1,Dragon,Water,Dragon,
231,Phanpy,90,60,60,40,40,40,330,Pickup,,Sand Veil,33.5,0.5,Blue,Field,,Ground,,
232,Donphan,90,120,120,60,60,50,500,Sturdy,,Sand Veil,120,1.1,Gray,Field,,Ground,,
233,Porygon2,85,80,90,105,95,60,515,Trace,Download,Analytic,32.5,0.6,Red,Mineral,,Normal,,
234,Stantler,73,95,62,85,65,85,465,Intimidate,Frisk,Sap Sipper,71.2,1.4,Brown,Field,,Normal,,
235,Smeargle,55,20,35,20,45,75,250,Own Tempo,Technician,Moody,58,1.2,White,Field,,Normal,,
236,Tyrogue,35,35,35,35,35,35,210,Guts,Steadfast,Vital Spirit,21,0.7,Purple,Undiscovered,,Fighting,,
237,Hitmontop,50,95,95,35,110,70,455,Intimidate,Technician,Steadfast,48,1.4,Brown,Human-Like,,Fighting,,
238,Smoochum,45,30,15,85,65,65,305,Oblivious,Forewarn,Hydration,6,0.4,Pink,Undiscovered,,Ice,Psychic,
239,Elekid,45,63,37,65,55,95,360,Static,,Vital Spirit,23.5,0.6,Yellow,Undiscovered,,Electric,,
240,Magby,45,75,37,70,55,83,365,Flame Body,,Vital Spirit,21.4,0.7,Red,Undiscovered,,Fire,,
241,Miltank,95,80,105,40,70,100,490,Thick Fat,Scrappy,Sap Sipper,75.5,1.2,Pink,Field,,Normal,,
242,Blissey,255,10,10,75,135,55,540,Natural Cure,Serene Grace,Healer,46.8,1.5,Pink,Fairy,,Normal,,
243,Raikou,90,85,75,115,100,115,580,Pressure,,Inner Focus,178,1.9,Yellow,Undiscovered,,Electric,,
244,Entei,115,115,85,90,75,100,580,Pressure,,Inner Focus,198,2.1,Brown,Undiscovered,,Fire,,
245,Suicune,100,75,115,90,115,85,580,Pressure,,Inner Focus,187,2,Blue,Undiscovered,,Water,,
246,Larvitar,50,64,50,45,50,41,300,Guts,,Sand Veil,72,0.6,Green,Monster,,Rock,Ground,
247,Pupitar,70,84,70,65,70,51,410,Shed Skin,,,152,1.2,Gray,Monster,,Rock,Ground,
248,Tyranitar,100,134,110,95,100,61,600,Sand Stream,,Unnerve,202,2,Green,Monster,,Rock,Dark,
248.1,Tyranitar (Mega),100,164,150,95,120,71,700,Sand Stream,,,255,2.5,Green,Monster,,Rock,Dark,
249,Lugia,106,90,130,90,154,110,680,Pressure,,Multiscale,216,5.2,White,Undiscovered,,Psychic,Flying,
250,Ho-oh,106,130,90,110,154,90,680,Pressure,,Regenerator,199,3.8,Red,Undiscovered,,Fire,Flying,
251,Celebi,100,100,100,100,100,100,600,Natural Cure,,,5,0.6,Green,Undiscovered,,Psychic,Grass,
252,Treecko,40,45,35,65,55,70,310,Overgrow,,Unburden,5,0.5,Green,Monster,Dragon,Grass,,
253,Grovyle,50,65,45,85,65,95,405,Overgrow,,Unburden,21.6,0.9,Green,Monster,Dragon,Grass,,
254,Sceptile,70,85,65,105,85,120,530,Overgrow,,Unburden,52.2,1.7,Green,Monster,Dragon,Grass,,
254.1,Sceptile (Mega),70,110,75,145,85,145,630,Lightningrod,,,55.2,1.9,Green,Monster,Dragon,Grass,Dragon,
255,Torchic,45,60,40,70,50,45,310,Blaze,,Speed Boost,2.5,0.4,Red,Field,,Fire,,
256,Combusken,60,85,60,85,60,55,405,Blaze,,Speed Boost,19.5,0.9,Red,Field,,Fire,Fighting,
257,Blaziken,80,120,70,110,70,80,530,Blaze,,Speed Boost,52,1.9,Red,Field,,Fire,Fighting,
257.1,Blaziken (Mega),80,160,80,130,80,100,630,Speed Boost,,,52,1.9,Red,Field,,Fire,Fighting,
258,Mudkip,50,70,50,50,50,40,310,Torrent,,Damp,7.6,0.4,Blue,Monster,Water 1,Water,,
259,Marshtomp,70,85,70,60,70,50,405,Torrent,,Damp,28,0.7,Blue,Monster,Water 1,Water,Ground,
260,Swampert,100,110,90,85,90,60,535,Torrent,,Damp,81.9,1.5,Blue,Monster,Water 1,Water,Ground,
260.1,Swampert (Mega),100,150,110,95,110,70,635,Swift Swim,,,102,1.9,Blue,Monster,Water 1,Water,Ground,
261,Poochyena,35,55,35,30,30,35,220,Run Away,Quick Feet,Rattled,13.6,0.5,Gray,Field,,Dark,,
262,Mightyena,70,90,70,60,60,70,420,Intimidate,Quick Feet,Moxie,37,1,Gray,Field,,Dark,,
263,Zigzagoon,38,30,41,30,41,60,240,Pickup,Gluttony,Quick Feet,17.5,0.4,Brown,Field,,Normal,,
263.1,Zigzagoon (Galarian),38,30,41,30,41,60,240,Pickup,Gluttony,Quick Feet,17.5,0.4,White,Field,,Dark,Normal,
264,Linoone,78,70,61,50,61,100,420,Pickup,Gluttony,Quick Feet,32.5,0.5,White,Field,,Normal,,
264.1,Linoone (Galarian),78,70,61,50,61,100,420,Pickup,Gluttony,Quick Feet,32.5,0.5,White,Field,,Dark,Normal,
265,Wurmple,45,45,35,20,30,20,195,Shield Dust,,Run Away,3.6,0.3,Red,Bug,,Bug,,
266,Silcoon,50,35,55,25,25,15,205,Shed Skin,,,10,0.6,White,Bug,,Bug,,
267,Beautifly,60,70,50,100,50,65,395,Swarm,,Rivalry,28.4,1,Yellow,Bug,,Bug,Flying,
268,Cascoon,50,35,55,25,25,15,205,Shed Skin,,,11.5,0.7,Purple,Bug,,Bug,,
269,Dustox,60,50,70,50,90,65,385,Shield Dust,,Compoundeyes,31.6,1.2,Green,Bug,,Bug,Poison,
270,Lotad,40,30,30,40,50,30,220,Swift Swim,Rain Dish,Own Tempo,2.6,0.5,Green,Water 1,Grass,Water,Grass,
271,Lombre,60,50,50,60,70,50,340,Swift Swim,Rain Dish,Own Tempo,32.5,1.2,Green,Water 1,Grass,Water,Grass,
272,Ludicolo,80,70,70,90,100,70,480,Swift Swim,Rain Dish,Own Tempo,55,1.5,Green,Water 1,Grass,Water,Grass,
273,Seedot,40,40,50,30,30,30,220,Chlorophyll,Early Bird,Pickpocket,4,0.5,Brown,Field,Grass,Grass,,
274,Nuzleaf,70,70,40,60,40,60,340,Chlorophyll,Early Bird,Pickpocket,28,1,Brown,Field,Grass,Grass,Dark,
275,Shiftry,90,100,60,90,60,80,480,Chlorophyll,Early Bird,Pickpocket,59.6,1.3,Brown,Field,Grass,Grass,Dark,
276,Taillow,40,55,30,30,30,85,270,Guts,,Scrappy,2.3,0.3,Blue,Flying,,Normal,Flying,
277,Swellow,60,85,60,75,50,125,455,Guts,,Scrappy,19.8,0.7,Blue,Flying,,Normal,Flying,
278,Wingull,40,30,30,55,30,85,270,Keen Eye,Hydration,Rain Dish,9.5,0.6,White,Water 1,Flying,Water,Flying,
279,Pelipper,60,50,100,95,70,65,440,Keen Eye,Drizzle,Rain Dish,28,1.2,Yellow,Water 1,Flying,Water,Flying,
280,Ralts,28,25,25,45,35,40,198,Synchronize,Trace,Telepathy,6.6,0.4,White,Human-Like,Amorphous,Psychic,Fairy,
281,Kirlia,38,35,35,65,55,50,278,Synchronize,Trace,Telepathy,20.2,0.8,White,Human-Like,Amorphous,Psychic,Fairy,
282,Gardevoir,68,65,65,125,115,80,518,Synchronize,Trace,Telepathy,48.4,1.6,White,Human-Like,Amorphous,Psychic,Fairy,
282.1,Gardevoir (Mega),68,85,65,165,135,100,618,Pixilate,,,48.4,1.6,White,Human-Like,Amorphous,Psychic,Fairy,
283,Surskit,40,30,32,50,52,65,269,Swift Swim,,Rain Dish,1.7,0.5,Blue,Water 1,Bug,Bug,Water,
284,Masquerain,70,60,62,100,82,80,454,Intimidate,,Unnerve,3.6,0.8,Blue,Water 1,Bug,Bug,Flying,
285,Shroomish,60,40,60,40,60,35,295,Effect Spore,Poison Heal,Quick Feet,4.5,0.4,Brown,Fairy,Grass,Grass,,
286,Breloom,60,130,80,60,60,70,460,Effect Spore,Poison Heal,Technician,39.2,1.2,Green,Fairy,Grass,Grass,Fighting,
287,Slakoth,60,60,60,35,35,30,280,Truant,,,24,0.8,Brown,Field,,Normal,,
288,Vigoroth,80,80,80,55,55,90,440,Vital Spirit,,,46.5,1.4,White,Field,,Normal,,
289,Slaking,150,160,100,95,65,100,670,Truant,,,130.5,2,Brown,Field,,Normal,,
290,Nincada,31,45,90,30,30,40,266,Compoundeyes,,Run Away,5.5,0.5,Gray,Bug,,Bug,Ground,
291,Ninjask,61,90,45,50,50,160,456,Speed Boost,,Infiltrator,12,0.8,Yellow,Bug,,Bug,Flying,
292,Shedinja,1,90,45,30,30,40,236,Wonder Guard,,,1.2,0.8,Brown,Mineral,,Bug,Ghost,
293,Whismur,64,51,23,51,23,28,240,Soundproof,,Rattled,16.3,0.6,Pink,Monster,Field,Normal,,
294,Loudred,84,71,43,71,43,48,360,Soundproof,,Scrappy,40.5,1,Blue,Monster,Field,Normal,,
295,Exploud,104,91,63,91,73,68,490,Soundproof,,Scrappy,84,1.5,Blue,Monster,Field,Normal,,
296,Makuhita,72,60,30,20,30,25,237,Thick Fat,Guts,Sheer Force,86.4,1,Yellow,Human-Like,,Fighting,,
297,Hariyama,144,120,60,40,60,50,474,Thick Fat,Guts,Sheer Force,253.8,2.3,Brown,Human-Like,,Fighting,,
298,Azurill,50,20,40,20,40,20,190,Thick Fat,Huge Power,Sap Sipper,2,0.2,Blue,Undiscovered,,Normal,Fairy,
299,Nosepass,30,45,135,45,90,30,375,Sturdy,Magnet Pull,Sand Force,97,1,Gray,Mineral,,Rock,,
300,Skitty,50,45,45,35,35,50,260,Cute Charm,Normalize,Wonder Skin,11,0.6,Pink,Field,Fairy,Normal,,
301,Delcatty,70,65,65,55,55,90,400,Cute Charm,Normalize,Wonder Skin,32.6,1.1,Purple,Field,Fairy,Normal,,
302,Sableye,50,75,75,65,65,50,380,Keen Eye,Stall,Prankster,11,0.5,Purple,Human-Like,,Dark,Ghost,
302.1,Sableye (Mega),50,85,125,85,115,20,480,Magic Bounce,,,161,0.5,Purple,Human-Like,,Dark,Ghost,
303,Mawile,50,85,85,55,55,50,380,Hyper Cutter,Intimidate,Sheer Force,11.5,0.6,Black,Field,Fairy,Steel,Fairy,
303.1,Mawile (Mega),50,105,125,55,95,50,480,Huge Power,,,23.5,1,Black,Field,Fairy,Steel,Fairy,
304,Aron,50,70,100,40,40,30,330,Sturdy,Rock Head,Heavy Metal,60,0.4,Gray,Monster,,Steel,Rock,
305,Lairon,60,90,140,50,50,40,430,Sturdy,Rock Head,Heavy Metal,120,0.9,Gray,Monster,,Steel,Rock,
306,Aggron,70,110,180,60,60,50,530,Sturdy,Rock Head,Heavy Metal,360,2.1,Gray,Monster,,Steel,Rock,
306.1,Aggron (Mega),70,140,230,60,80,50,630,Filter,,,395,2.2,Gray,Monster,,Steel,,
307,Meditite,30,40,55,40,55,60,280,Pure Power,,Telepathy,11.2,0.6,Blue,Human-Like,,Fighting,Psychic,
308,Medicham,60,60,75,60,75,80,410,Pure Power,,Telepathy,31.5,1.3,Red,Human-Like,,Fighting,Psychic,
308.1,Medicham (Mega),60,100,85,80,85,100,510,Pure Power,,,31.5,1.3,Red,Human-Like,,Fighting,Psychic,
309,Electrike,40,45,40,65,40,65,295,Static,Lightningrod,Minus,15.2,0.6,Green,Field,,Electric,,
310,Manectric,70,75,60,105,60,105,475,Static,Lightningrod,Minus,40.2,1.5,Yellow,Field,,Electric,,
310.1,Manetric (Mega),70,75,80,135,80,135,575,Intimidate,,,44,1.8,Yellow,Field,,Electric,,
311,Plusle,60,50,40,85,75,95,405,Plus,,,4.2,0.4,Yellow,Fairy,,Electric,,
312,Minun,60,40,50,75,85,95,405,Minus,,,4.2,0.4,Yellow,Fairy,,Electric,,
313,Volbeat,65,73,75,47,85,85,430,Illuminate,Swarm,Prankster,17.7,0.7,Gray,Bug,Human-Like,Bug,,
314,Illumise,65,47,75,73,85,85,430,Oblivious,Tinted Lens,Prankster,17.7,0.6,Purple,Bug,Human-Like,Bug,,
315,Roselia,50,60,45,100,80,65,400,Natural Cure,Poison Point,Leaf Guard,2,0.3,Green,Fairy,Grass,Grass,Poison,
316,Gulpin,70,43,53,43,53,40,302,Liquid Ooze,Sticky Hold,Gluttony,10.3,0.4,Green,Amorphous,,Poison,,
317,Swalot,100,73,83,73,83,55,467,Liquid Ooze,Sticky Hold,Gluttony,80,1.7,Purple,Amorphous,,Poison,,
318,Carvanha,45,90,20,65,20,65,305,Rough Skin,,Speed Boost,20.8,0.8,Red,Water 2,,Water,Dark,
319,Sharpedo,70,120,40,95,40,95,460,Rough Skin,,Speed Boost,88.8,1.8,Blue,Water 2,,Water,Dark,
319.1,Sharpedo (Mega),70,140,70,110,65,105,560,Strong Jaw,,,130.3,2.5,Blue,Water 2,,Water,Dark,
320,Wailmer,130,70,35,70,35,60,400,Water Veil,Oblivious,Pressure,130,2,Blue,Field,Water 2,Water,,
321,Wailord,170,90,45,90,45,60,500,Water Veil,Oblivious,Pressure,398,14.5,Blue,Field,Water 2,Water,,
322,Numel,60,60,40,65,45,35,305,Oblivious,Simple,Own Tempo,24,0.7,Yellow,Field,,Fire,Ground,
323,Camerupt,70,100,70,105,75,40,460,Magma Armor,Solid Rock,Anger Point,220,1.9,Red,Field,,Fire,Ground,
323.1,Camerupt (Mega),70,120,100,145,105,20,560,Sheer Force,,,320.5,2.5,Red,Field,,Fire,Ground,
324,Torkoal,70,85,140,85,70,20,470,White Smoke,Drought,Shell Armor,80.4,0.5,Brown,Field,,Fire,,
325,Spoink,60,25,35,70,80,60,330,Thick Fat,Own Tempo,Gluttony,30.6,0.7,Black,Field,,Psychic,,
326,Grumpig,80,45,65,90,110,80,470,Thick Fat,Own Tempo,Gluttony,71.5,0.9,Purple,Field,,Psychic,,
327,Spinda,60,60,60,60,60,60,360,Own Tempo,Tangled Feet,Contrary,5,1.1,Brown,Field,Human-Like,Normal,,
328,Trapinch,45,100,45,45,45,10,290,Hyper Cutter,Arena Trap,Sheer Force,15,0.7,Brown,Bug,Dragon,Ground,,
329,Vibrava,50,70,50,50,50,70,340,Levitate,,,15.3,1.1,Green,Bug,Dragon,Ground,Dragon,
330,Flygon,80,100,80,80,80,100,520,Levitate,,,82,2,Green,Bug,Dragon,Ground,Dragon,
331,Cacnea,50,85,40,85,40,35,335,Sand Veil,,Water Absorb,51.3,0.4,Green,Grass,Human-Like,Grass,,
332,Cacturne,70,115,60,115,60,55,475,Sand Veil,,Water Absorb,77.4,1.3,Green,Grass,Human-Like,Grass,Dark,
333,Swablu,45,40,60,40,75,50,310,Natural Cure,,Cloud Nine,1.2,0.4,Blue,Flying,Dragon,Normal,Flying,
334,Altaria,75,70,90,70,105,80,490,Natural Cure,,Cloud Nine,20.6,1.1,Blue,Flying,Dragon,Dragon,Flying,
334.1,Altaria (Mega),75,110,110,110,105,80,590,Pixilate,,,20.6,1.5,Blue,Flying,Dragon,Dragon,Fairy,
335,Zangoose,73,115,60,60,60,90,458,Immunity,,Poison Rampage,40.3,1.3,White,Field,,Normal,,
336,Seviper,73,100,60,100,60,65,458,Shed Skin,,Infiltrator,52.5,2.7,Black,Field,Dragon,Poison,,
337,Lunatone,90,55,65,95,85,70,460,Levitate,,,168,1,Yellow,Mineral,,Rock,Psychic,
338,Solrock,90,95,85,55,65,70,460,Levitate,,,154,1.2,Red,Mineral,,Rock,Psychic,
339,Barboach,50,48,43,46,41,60,288,Oblivious,Anticipation,Hydration,1.9,0.4,Gray,Water 2,,Water,Ground,
340,Whiscash,110,78,73,76,71,60,468,Oblivious,Anticipation,Hydration,23.6,0.9,Blue,Water 2,,Water,Ground,
341,Corphish,43,80,65,50,35,35,308,Hyper Cutter,Shell Armor,Adaptability,11.5,0.6,Red,Water 1,Water 3,Water,,
342,Crawdaunt,63,120,85,90,55,55,468,Hyper Cutter,Shell Armor,Adaptability,32.8,1.1,Red,Water 1,Water 3,Water,Dark,
343,Baltoy,40,40,55,40,70,55,300,Levitate,,,21.5,0.5,Brown,Mineral,,Ground,Psychic,
344,Claydol,60,70,105,70,120,75,500,Levitate,,,108,1.5,Black,Mineral,,Ground,Psychic,
345,Lileep,66,41,77,61,87,23,355,Suction Cups,,Storm Drain,23.8,1,Purple,Water 3,,Rock,Grass,
346,Cradily,86,81,97,81,107,43,495,Suction Cups,,Storm Drain,60.4,1.5,Green,Water 3,,Rock,Grass,
347,Anorith,45,95,50,40,50,75,355,Battle Armor,,Swift Swim,12.5,0.7,Gray,Water 3,,Rock,Bug,
348,Armaldo,75,125,100,70,80,45,495,Battle Armor,,Swift Swim,68.2,1.5,Gray,Water 3,,Rock,Bug,
349,Feebas,20,15,20,10,55,80,200,Swift Swim,,Adaptability,7.4,0.6,Brown,Water 1,Dragon,Water,,
350,Milotic,95,60,79,100,125,81,540,Marvel Scale,Competitive,Cute Charm,162,6.2,Pink,Water 1,Dragon,Water,,
